_id,ANNO,COD_ATENEO,NOME_ATENEO,Reg_ATENEO,AREA_GEO,GENERE,COD_QUALIFICA,DESC_QUALIFICA,N_PERS
40,2020,1201,"Castellanza - Università ""Carlo Cattaneo""",Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),23
41,2020,1201,"Castellanza - Università ""Carlo Cattaneo""",Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,10
42,2020,1201,"Castellanza - Università ""Carlo Cattaneo""",Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,6
43,2020,1202,Varese - Università dell' Insubria,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),88
44,2020,1202,Varese - Università dell' Insubria,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,51
45,2020,1202,Varese - Università dell' Insubria,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,22
46,2020,1202,Varese - Università dell' Insubria,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),174
47,2020,1202,Varese - Università dell' Insubria,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,65
48,2020,1202,Varese - Università dell' Insubria,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,28
49,2020,1301,"Novedrate (CO) - Università telematica ""e-Campus""",Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),24
50,2020,1301,"Novedrate (CO) - Università telematica ""e-Campus""",Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,7
51,2020,1301,"Novedrate (CO) - Università telematica ""e-Campus""",Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),40
52,2020,1301,"Novedrate (CO) - Università telematica ""e-Campus""",Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,4
53,2020,1501,Milano - Università degli studi,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),603
54,2020,1501,Milano - Università degli studi,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,339
55,2020,1501,Milano - Università degli studi,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,402
56,2020,1501,Milano - Università degli studi,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),939
57,2020,1501,Milano - Università degli studi,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,319
58,2020,1501,Milano - Università degli studi,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,329
59,2020,1502,Milano - Politecnico,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),297
60,2020,1502,Milano - Politecnico,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,148
61,2020,1502,Milano - Politecnico,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,396
62,2020,1502,Milano - Politecnico,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),768
63,2020,1502,Milano - Politecnico,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,262
64,2020,1502,Milano - Politecnico,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,647
65,2020,1503,"Milano - Università commerciale ""Luigi Bocconi""",Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),56
66,2020,1503,"Milano - Università commerciale ""Luigi Bocconi""",Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,31
67,2020,1503,"Milano - Università commerciale ""Luigi Bocconi""",Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,12
68,2020,1503,"Milano - Università commerciale ""Luigi Bocconi""",Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),161
69,2020,1503,"Milano - Università commerciale ""Luigi Bocconi""",Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,68
70,2020,1503,"Milano - Università commerciale ""Luigi Bocconi""",Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,35
71,2020,1504,"Milano - Università Cattolica del ""Sacro Cuore""",Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),246
72,2020,1504,"Milano - Università Cattolica del ""Sacro Cuore""",Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,254
73,2020,1504,"Milano - Università Cattolica del ""Sacro Cuore""",Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,159
74,2020,1504,"Milano - Università Cattolica del ""Sacro Cuore""",Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),486
75,2020,1504,"Milano - Università Cattolica del ""Sacro Cuore""",Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,295
76,2020,1504,"Milano - Università Cattolica del ""Sacro Cuore""",Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,101
77,2020,1505,Milano - Libera Università di Lingue e Comunicazione (IULM),Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),27
78,2020,1505,Milano - Libera Università di Lingue e Comunicazione (IULM),Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,15
79,2020,1505,Milano - Libera Università di Lingue e Comunicazione (IULM),Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,7
80,2020,1505,Milano - Libera Università di Lingue e Comunicazione (IULM),Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),41
81,2020,1505,Milano - Libera Università di Lingue e Comunicazione (IULM),Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,6
82,2020,1505,Milano - Libera Università di Lingue e Comunicazione (IULM),Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,8
83,2020,1508,Milano - Università Vita-Salute San Raffaele,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),32
84,2020,1508,Milano - Università Vita-Salute San Raffaele,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,18
85,2020,1508,Milano - Università Vita-Salute San Raffaele,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,25
86,2020,1508,Milano - Università Vita-Salute San Raffaele,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),105
87,2020,1508,Milano - Università Vita-Salute San Raffaele,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,25
88,2020,1508,Milano - Università Vita-Salute San Raffaele,Lombardia,NORD-OVEST,M,4AR,Titolare di assegno di ricerca,22
89,2020,1509,Milano-Bicocca - Università degli studi,Lombardia,NORD-OVEST,F,1PO e 2PA,Professore I/II fascia (ordinario/associato),265
90,2020,1509,Milano-Bicocca - Università degli studi,Lombardia,NORD-OVEST,F,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,146
91,2020,1509,Milano-Bicocca - Università degli studi,Lombardia,NORD-OVEST,F,4AR,Titolare di assegno di ricerca,204
92,2020,1509,Milano-Bicocca - Università degli studi,Lombardia,NORD-OVEST,M,1PO e 2PA,Professore I/II fascia (ordinario/associato),402
93,2020,1509,Milano-Bicocca - Università degli studi,Lombardia,NORD-OVEST,M,3RU e 3RTD,Ricercatore a tempo indeterminato/determinato,173
